SalesOrderNumber,SalesOrderItemNumber,OrderCreationDate,RequestedDeliveryDate,DeliveryNumber,DeliveryDate,PickDate,ActualGIdate,DeliveryItemNumber,Material,DeliveryQuantity,MaterialAvailableDate,Volume,NetWeight,GrossWeight,MATNR,CHARG,WERKS
232123098,290,2/20/2017,2017.03.13,2062892697,2017.03.13,2017.02.20,2017.03.02,900021,6E+13,281,2017.02.20,5000,0.5,15,6E+13,62873,MY21
232123098,290,2/20/2017,2017.03.13,2062892697,2017.03.13,2017.02.20,2017.03.02,900022,6E+13,17,2017.02.20,5000,0.5,15,6E+13,62872,MY21
253561769,71,11/23/2018,2018.12.07,2104370950,2018.12.14,2018.11.23,2018.12.06,900021,6E+13,53,2018.11.23,27464,2.5,17,6E+13,10618,MY21
253561769,71,11/23/2018,2018.12.07,2104370950,2018.12.14,2018.11.23,2018.12.06,900022,6E+13,29,2018.11.23,16232,1.5,16,6E+13,200618,MY21
232123105,110,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900021,6E+13,1349,2017.02.20,160366,83.5,98,6E+13,50418,MY21
232123105,110,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900022,6E+13,2021,2017.02.20,238050,125.5,140,6E+13,60418,MY21
232123105,120,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900023,6E+13,149,2017.02.20,68000,42.5,57,6E+13,161207M,MY21
232123105,120,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900024,6E+13,341,2017.02.20,152000,99.5,114,6E+13,161223M,MY21
232123105,130,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900025,6E+13,749,2017.02.20,580856,409.5,424,6E+13,161006M,MY21
232123105,130,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900026,6E+13,461,2017.02.20,357944,251.5,266,6E+13,161008M,MY21
232123105,340,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900027,232822,185,2017.02.20,80600,72.5,87,232822,1640442,MY21
232123105,340,2/20/2017,2017.03.13,2062892698,2017.03.13,2017.02.20,2017.03.02,900028,232822,65,2017.02.20,30200,24.5,39,232822,1640448,MY21
232068587,60,2/17/2017,2017.03.09,2062966013,2017.03.14,2017.02.21,2017.03.06,900021,6E+13,1397,2017.02.21,3137000,473.5,488,6E+13,100318,MY21
232068587,60,2/17/2017,2017.03.09,2062966013,2017.03.14,2017.02.21,2017.03.06,900022,6E+13,1013,2017.02.21,2273000,343.5,358,6E+13,190518,MY21
232173630,30,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900021,6E+13,965,2017.02.22,240200,403.5,418,6E+13,30518,MY21
232173630,30,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900022,6E+13,3845,2017.02.22,945800,1613.5,1628,6E+13,50518,MY21
232173630,50,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900023,6E+13,269,2017.02.22,1188989,483.5,498,6E+13,130518,MY21
232173630,50,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900024,6E+13,221,2017.02.22,973718,395.5,410,6E+13,230318,MY21
232173630,80,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900025,6E+13,245,2017.02.22,372069,77.5,92,6E+13,100318,MY21
232173630,80,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900026,6E+13,125,2017.02.22,188535,38.5,53,6E+13,150218,MY21
232173630,240,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900027,6E+13,1985,2017.02.22,9952,69.5,84,6E+13,71116,MY21
232173630,240,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900028,6E+13,1265,2017.02.22,8151,44.5,59,6E+13,150716,MY21
232173630,400,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900029,241770,385,2017.02.22,159375,26.5,41,241770,1640613,MY21
232173630,400,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900030,241770,25,2017.02.22,13125,1.5,16,241770,1640676,MY21
232173630,550,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900031,6E+13,161,2017.02.22,83624,43.5,58,6E+13,721116,MY21
232173630,550,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900032,6E+13,929,2017.02.22,470696,256.5,271,6E+13,751116,MY21
232173630,670,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900033,241107,23,2017.02.22,5000,0.5,15,241107,MJ141624B,MY21
232173630,670,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900034,241107,1031,2017.02.22,5001,1.5,16,241107,MJ161624B,MY21
232173630,670,2/21/2017,2017.03.13,2063065742,2017.03.15,2017.02.22,2017.03.01,900035,241107,161,2017.02.22,5000,0.5,15,241107,MJ171624B,MY21
232301711,40,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900021,6E+13,269,2017.02.27,309128,132.5,147,6E+13,40518,MY21
232301711,40,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900022,6E+13,533,2017.02.27,613256,264.5,279,6E+13,220418,MY21
232301711,80,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900023,6E+13,269,2017.02.27,408776,84.5,99,6E+13,100318,MY21
232301711,80,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900024,6E+13,29,2017.02.27,41707,8.5,23,6E+13,150218,MY21
232301711,150,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900025,6E+13,65,2017.02.27,51440,33.5,48,6E+13,161117M,MY21
232301711,150,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900026,6E+13,65,2017.02.27,51440,33.5,48,6E+13,161118M,MY21
232301711,150,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900027,6E+13,137,2017.02.27,107168,73.5,88,6E+13,161119M,MY21
232301711,150,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900028,6E+13,221,2017.02.27,172184,119.5,134,6E+13,161120M,MY21
232301711,150,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900029,6E+13,17,2017.02.27,14288,7.5,22,6E+13,161121M,MY21
232301711,170,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900030,6E+13,125,2017.02.27,5000,61.5,76,6E+13,160841M,MY21
232301711,170,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900031,6E+13,245,2017.02.27,5000,121.5,136,6E+13,160842M,MY21
232301711,400,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900032,209401,170,2017.02.27,263638,79.5,94,209401,137733,MY21
232301711,400,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900033,209401,80,2017.02.27,122563,36.5,51,209401,137737,MY21
232301711,730,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900034,6E+13,329,2017.02.27,5000,0.5,15,6E+13,62872,MY21
232301711,730,2/24/2017,2017.03.20,2063261794,2017.03.20,2017.02.27,2017.03.08,900035,6E+13,257,2017.02.27,5000,0.5,15,6E+13,62873,MY21
232321331,30,2/24/2017,2017.03.02,2063347471,2017.03.02,2017.02.28,2017.03.01,900021,6E+13,2309,2017.02.28,271342,143.5,158,6E+13,120518,MY21
232321331,30,2/24/2017,2017.03.02,2063347471,2017.03.02,2017.02.28,2017.03.01,900022,6E+13,7301,2017.02.28,848418,452.5,467,6E+13,130518,MY21
232321331,70,2/24/2017,2017.03.02,2063347471,2017.03.02,2017.02.28,2017.03.01,900023,240742,5235,2017.02.28,695360,1517.5,1532,240742,1740054,MY21
232321331,70,2/24/2017,2017.03.02,2063347471,2017.03.02,2017.02.28,2017.03.01,900024,240742,3095,2017.02.28,412880,896.5,911,240742,1740055,MY21
232321331,120,2/24/2017,2017.03.02,2063347471,2017.03.02,2017.02.28,2017.03.01,900025,6E+13,1301,2017.02.28,331592,64.5,79,6E+13,M1K11007,MY21
232321331,120,2/24/2017,2017.03.02,2063347471,2017.03.02,2017.02.28,2017.03.01,900026,6E+13,7349,2017.02.28,1855688,360.5,375,6E+13,M1K11008,MY21
232321332,20,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900021,6E+13,1325,2017.02.28,1026680,726.5,741,6E+13,161201M,MY21
232321332,20,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900022,6E+13,1325,2017.02.28,1026680,726.5,741,6E+13,161202M,MY21
232321332,30,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900023,6E+13,1925,2017.02.28,845000,564.5,579,6E+13,161220M,MY21
232321332,30,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900024,6E+13,1925,2017.02.28,845000,564.5,579,6E+13,161222M,MY21
232321332,40,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900025,6E+13,749,2017.02.28,580856,409.5,424,6E+13,161120M,MY21
232321332,40,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900026,6E+13,1325,2017.02.28,1026680,726.5,741,6E+13,161121M,MY21
232321332,40,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900027,6E+13,353,2017.02.28,274352,191.5,206,6E+13,170206M,MY21
232321332,40,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900028,6E+13,161,2017.02.28,125744,86.5,101,6E+13,170207M,MY21
232321332,40,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900029,6E+13,77,2017.02.28,60728,40.5,55,6E+13,170208M,MY21
232321332,50,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900030,6E+13,221,2017.02.28,73607,32.5,47,6E+13,271216D,MY21
232321332,50,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900031,6E+13,1709,2017.02.28,546233,256.5,271,6E+13,271216E,MY21
232321332,80,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900032,232815,125,2017.02.28,30920,27.5,42,232815,1640374,MY21
232321332,80,2/24/2017,2017.03.02,2063347475,2017.03.02,2017.02.28,2017.03.01,900033,232815,29,2017.02.28,10184,5.5,20,232815,1640683,MY21
232378243,240,2/27/2017,2017.03.03,2063385151,2017.03.03,2017.02.28,2017.03.01,900021,6E+13,305,2017.02.28,153155,39.5,54,6E+13,1640767,MY21
232378243,240,2/27/2017,2017.03.03,2063385151,2017.03.03,2017.02.28,2017.03.01,900022,6E+13,425,2017.02.28,212417,55.5,70,6E+13,1640804,MY21
232071253,60,2/17/2017,2017.03.02,2063385376,2017.03.02,2017.02.27,2017.03.01,900021,6E+13,101,2017.02.27,79304,53.5,68,6E+13,161120M,MY21
232071253,60,2/17/2017,2017.03.02,2063385376,2017.03.02,2017.02.27,2017.03.01,900022,6E+13,269,2017.02.27,209336,145.5,160,6E+13,170206M,MY21
232379367,170,2/27/2017,2017.03.02,2063389931,2017.03.02,2017.02.28,2017.03.01,900021,6E+13,149,2017.02.28,46472,18.5,33,6E+13,1510916,MY21
232379367,170,2/27/2017,2017.03.02,2063389931,2017.03.02,2017.02.28,2017.03.01,900022,6E+13,365,2017.02.28,108680,46.5,61,6E+13,1520916,MY21
232378411,260,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900021,237070,1301,2017.02.28,108680,17.5,32,237070,1640758,MY21
232378411,260,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900022,237070,629,2017.02.28,54920,8.5,23,237070,1640759,MY21
232378411,260,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900023,237070,389,2017.02.28,35720,5.5,20,237070,1640760,MY21
232378411,280,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900024,6E+13,17,2017.02.28,8456,2.5,17,6E+13,120916,MY21
232378411,280,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900025,6E+13,209,2017.02.28,63752,26.5,41,6E+13,141116,MY21
232378411,380,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900026,234277,161,2017.02.28,7300,3.5,18,234277,1640826,MY21
232378411,380,2/27/2017,2017.03.03,2063466394,2017.03.03,2017.02.28,2017.03.01,900027,234277,89,2017.02.28,6238,2.5,17,234277,1740007,MY21
232423210,30,2/28/2017,2017.03.03,2063466466,2017.03.03,2017.03.01,2017.03.01,900021,6E+13,245,2017.03.01,281480,120.5,135,6E+13,40518,MY21
232423210,30,2/28/2017,2017.03.03,2063466466,2017.03.03,2017.03.01,2017.03.01,900022,6E+13,557,2017.03.01,640904,276.5,291,6E+13,50518,MY21
253561973,140,11/23/2018,2018.12.07,2104370974,2018.12.14,2018.11.23,2018.12.06,900021,6E+13,41,2018.11.23,41000,32.5,47,6E+13,180716M,MY21
253561973,140,11/23/2018,2018.12.07,2104370974,2018.12.14,2018.11.23,2018.12.06,900022,6E+13,89,2018.11.23,89000,76.5,91,6E+13,180719M,MY21
253561974,20,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900021,6E+13,3461,2018.11.23,7253,691.5,741,6E+13,141019G,MY21
253561974,20,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900022,6E+13,1349,2018.11.23,5876,269.5,297,6E+13,151019G,MY21
253561974,180,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900023,6E+13,89,2018.11.23,89000,76.5,91,6E+13,180820M,MY21
253561974,180,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900024,6E+13,341,2018.11.23,341000,302.5,317,6E+13,180821M,MY21
253561974,250,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900025,6E+13,473,2018.11.23,139784,22.5,37,6E+13,121018B,MY21
253561974,250,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900026,6E+13,401,2018.11.23,119048,18.5,33,6E+13,121018D,MY21
253561974,430,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900027,6E+13,35,2018.11.23,19816,4.5,20,6E+13,NM5C,MY21
253561974,430,11/23/2018,2018.12.07,2104370977,2018.12.14,2018.11.23,2018.12.03,900028,6E+13,695,2018.11.23,345757,91.5,133,6E+13,PD7W,MY21
253549488,101,11/22/2018,2018.12.07,2104390098,2018.12.17,2018.11.26,2018.12.01,900021,6E+13,113,2018.11.26,7808,1.5,15,6E+13,100818,MY21
253549488,101,11/22/2018,2018.12.07,2104390098,2018.12.17,2018.11.26,2018.12.01,900022,6E+13,977,2018.11.26,30272,9.5,18,6E+13,130918,MY21
253549488,160,11/22/2018,2018.12.07,2104390098,2018.12.17,2018.11.26,2018.12.01,900023,6E+13,149,2018.11.26,46472,7.5,22,6E+13,121018B,MY21
253549488,160,11/22/2018,2018.12.07,2104390098,2018.12.17,2018.11.26,2018.12.01,900024,6E+13,437,2018.11.26,129416,20.5,35,6E+13,121018D,MY21
253549488,410,11/22/2018,2018.12.07,2104390098,2018.12.17,2018.11.26,2018.12.01,900025,6E+13,77,2018.11.26,29480,9.5,24,6E+13,18070605,MY21
253549488,410,11/22/2018,2018.12.07,2104390098,2018.12.17,2018.11.26,2018.12.01,900026,6E+13,77,2018.11.26,29480,9.5,24,6E+13,18070606,MY21
253576537,180,11/26/2018,2018.12.03,2104390109,2018.12.17,2018.11.26,2018.12.01,900021,209401,43,2018.11.26,64565,14.5,32,209401,140891,MY21
253576537,180,11/26/2018,2018.12.03,2104390109,2018.12.17,2018.11.26,2018.12.01,900022,209401,207,2018.11.26,321635,73.5,106,209401,140892,MY21
253576537,230,11/26/2018,2018.12.03,2104390109,2018.12.17,2018.11.26,2018.12.01,900023,6E+13,461,2018.11.26,119912,22.5,37,6E+13,M1L12026,MY21
253576537,230,11/26/2018,2018.12.03,2104390109,2018.12.17,2018.11.26,2018.12.01,900024,6E+13,989,2018.11.26,252968,48.5,63,6E+13,M1L12027,MY21
253576540,20,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900021,6E+13,1925,2018.11.26,6252,384.5,418,6E+13,141019G,MY21
253576540,20,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900022,6E+13,5765,2018.11.26,8756,1152.5,1225,6E+13,151019G,MY21
253576540,130,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900023,6E+13,437,2018.11.26,194000,127.5,142,6E+13,180728M,MY21
253576540,130,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900024,6E+13,53,2018.11.26,26000,14.5,29,6E+13,180729M,MY21
253576540,140,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900025,6E+13,53,2018.11.26,42152,26.5,41,6E+13,180826M,MY21
232071943,20,2/17/2017,2017.03.07,2063560426,2017.03.07,2017.03.03,2017.03.02,30,ABDA136A,53,2017.03.03,21320,7.5,22,ABDA136A,16101002,MY21
253576540,140,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900026,6E+13,317,2018.11.26,246488,172.5,187,6E+13,180917M,MY21
232071943,30,2/17/2017,2017.03.07,2063560426,2017.03.07,2017.03.03,2017.03.02,40,6E+13,149,2017.03.03,5360,5.5,20,6E+13,71116,MY21
253576540,160,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900027,6E+13,437,2018.11.26,142214,65.5,80,6E+13,240718J,MY21
232071943,40,2/17/2017,2017.03.07,2063560426,2017.03.07,2017.03.03,2017.03.02,50,6E+13,77,2017.03.03,130493,27.5,42,6E+13,40717,MY21
253576540,160,11/26/2018,2018.12.03,2104390111,2018.12.17,2018.11.26,2018.12.03,900028,6E+13,53,2018.11.26,20246,7.5,22,6E+13,240718M,MY21
